SiteID,CollectionID,Temp (°C),pH,Latitude (°S),Longitude (°E),Altitude (m),SPC (μS/cm),Alkalinity (ppm CaCO3),Water flux,Gas flux
LC220316,LC,40,7.3,-23.5629,-70.4002,13,15170,114.1,9.52,0
QN220317,QN,26,7.1,-23.6979,-70.4064,94,39800,180.2,0.44,0
CH220319,CH,22,5.8,-22.4173,-68.1726,3754,8476,480.4,0.32,0.103
RS220319,RS,22,6,-22.2781,-68.2277,3084,9108,792,1.89,2
AL220320,AL,83,NA,-23.1459,-67.6553,4747,NA,NA,0,NA
AV220320,AV,68,6,-23.1492,-67.6585,4705,5332,99,1.26,0.246
LN220321,LN,52,6.6,-23.1468,-67.4192,4227,52600,87.1,19.28,0.003
ET220322,ET,87,6.3,-22.3307,-68.0118,4278,25900,72.1,NA,NA
GB220322,GB,83,6.6,-22.357,-68.0226,4287,8710,225.2,5.93,0.802
CA220323,CA,25,7.4,-22.065,-68.0592,4061,277,102.1,17.64,0
OL220324,OL,147,NA,-20.9412,-68.4833,5312,NA,NA,NA,NA
CC220324,CC,20.3,8,-21.0251,-68.4508,4266,91,60.1,32.5,0
CR220324,CR,42,7.9,-22.065,-68.0593,4125,3541,75.1,10.32,0
OA220325,OA,28,7,-21.6879,-68.2149,3736,3630,138.1,9.24,NA
VA220325,VA,22,7.2,-21.6095,-68.2501,3795,7360,129.1,2.46,0
TM220326,TM,54,8.8,-20.0704,-69.2118,2804,1120,37,12.02,0
CN220327,CN,37,6.2,-19.8854,-68.6013,3906,10120,819.7,7.56,0.326
TL220327,TL,69,6.3,-19.8518,-68.9065,3999,3000,117.1,12.53,0.07
IR220328,IR,408,NA,-20.7345,-68.5574,4977,NA,NA,NA,NA
IS220328,IS,38,2.4,-20.7259,-68.5862,4042,21120,NA,1.68,0
SR220328,SR,35,8.3,-20.5405,-69.326,1322,8089,54,0.67,0
CZ220329,CZ,42,8.2,-19.6835,-69.1772,3423,679,72.1,272.61,0
PZ220330,PZ,74,7.17,-19.4085,-68.9585,4205,16450,183.2,2.52,0.004
PD220330,PD,86,NA,-19.4128,-68.9579,4222,NA,NA,NA,NA
PJ220330,PJ,30,6.7,-19.1208,-68.9098,4242,1769,111.1,1.86,0
EQ220330,EQ,30,6,-19.2351,-68.792,3901,2500,288.3,136.08,0
IV220331,IV,97,NA,-19.1622,-68.8349,5163,NA,NA,NA,NA
TT220331,TT,67,6.3,-19.1134,-69.1384,4067,20610,288.3,0.72,0
LA220331,LA,36,6.8,-19.0588,-69.2528,3728,20880,360.3,7.12,NA
LR220331,LR,24,5.5,-19.8518,-68.9061,4079,29460,372.3,110.76,0
LV220331,LV,49,5.6,-19.057,-69.2534,3731,28910,120.1,10.92,0
LP220401,LP,25,7.5,-19.233,-69.0104,4157,582,51,13.32,NA
PQ220401,PQ,63,5.8,-18.9132,-68.9992,4283,12200,147.1,37.83,NA
CP220402,CP,16,3.8,-17.9501,-69.4362,4151,1620,8,1.33,0
CE220402,CE,54,6.19,-17.9555,-69.4236,4141,34400,795.7,4.66,0.035
CU220402,CU,34,6.4,-18.17,-69.4309,4473,2610,249.2,6.66,0.005
PR220403,PR,36,6.3,-18.1979,-69.5385,3785,25410,738.6,0.1,0.008
JR220403,JR,65,6.9,-18.2102,-69.5105,4050,6129,75.1,13,0